Tiempo de predicción,Año,Presupuesto de horas,Horas acertadas
168,2021,10,0
168,2021,20,0
168,2021,30,0
168,2021,40,0
168,2021,50,0
168,2021,60,0
168,2021,70,0
168,2021,80,0
168,2021,90,0
168,2021,100,0
168,2021,110,0
168,2021,120,0
168,2021,130,0
168,2021,140,0
168,2021,150,0
168,2021,160,0
168,2021,170,0
168,2021,180,0
168,2021,190,1
168,2021,200,1
168,2021,210,2
168,2021,220,3
168,2021,230,4
168,2021,240,5
168,2021,250,6
168,2021,260,6
168,2021,270,8
168,2021,280,8
168,2021,290,9
168,2021,300,13
168,2021,310,13
168,2021,320,15
168,2021,330,16
168,2021,340,17
168,2021,350,18
168,2021,360,18
168,2021,370,19
168,2021,380,19
168,2021,390,20
168,2021,400,22
24,2021,10,0
24,2021,20,0
24,2021,30,0
24,2021,40,0
24,2021,50,0
24,2021,60,0
24,2021,70,0
24,2021,80,0
24,2021,90,0
24,2021,100,0
24,2021,110,0
24,2021,120,0
24,2021,130,0
24,2021,140,1
24,2021,150,2
24,2021,160,3
24,2021,170,4
24,2021,180,6
24,2021,190,6
24,2021,200,9
24,2021,210,10
24,2021,220,10
24,2021,230,10
24,2021,240,12
24,2021,250,14
24,2021,260,16
24,2021,270,18
24,2021,280,19
24,2021,290,19
24,2021,300,19
24,2021,310,21
24,2021,320,22
24,2021,330,23
24,2021,340,23
24,2021,350,26
24,2021,360,27
24,2021,370,30
24,2021,380,31
24,2021,390,31
24,2021,400,33
6,2021,10,0
6,2021,20,0
6,2021,30,0
6,2021,40,0
6,2021,50,0
6,2021,60,0
6,2021,70,0
6,2021,80,0
6,2021,90,0
6,2021,100,0
6,2021,110,0
6,2021,120,1
6,2021,130,2
6,2021,140,2
6,2021,150,3
6,2021,160,4
6,2021,170,6
6,2021,180,10
6,2021,190,11
6,2021,200,12
6,2021,210,14
6,2021,220,16
6,2021,230,16
6,2021,240,17
6,2021,250,18
6,2021,260,18
6,2021,270,19
6,2021,280,21
6,2021,290,22
6,2021,300,24
6,2021,310,25
6,2021,320,26
6,2021,330,26
6,2021,340,27
6,2021,350,29
6,2021,360,30
6,2021,370,31
6,2021,380,32
6,2021,390,33
6,2021,400,35
3,2021,10,0
3,2021,20,0
3,2021,30,0
3,2021,40,0
3,2021,50,0
3,2021,60,0
3,2021,70,0
3,2021,80,0
3,2021,90,0
3,2021,100,1
3,2021,110,2
3,2021,120,2
3,2021,130,2
3,2021,140,2
3,2021,150,3
3,2021,160,5
3,2021,170,5
3,2021,180,6
3,2021,190,6
3,2021,200,8
3,2021,210,11
3,2021,220,14
3,2021,230,17
3,2021,240,18
3,2021,250,20
3,2021,260,22
3,2021,270,24
3,2021,280,24
3,2021,290,26
3,2021,300,28
3,2021,310,28
3,2021,320,30
3,2021,330,30
3,2021,340,32
3,2021,350,32
3,2021,360,34
3,2021,370,34
3,2021,380,34
3,2021,390,35
3,2021,400,35
2,2021,10,0
2,2021,20,0
2,2021,30,0
2,2021,40,0
2,2021,50,0
2,2021,60,0
2,2021,70,0
2,2021,80,0
2,2021,90,0
2,2021,100,0
2,2021,110,0
2,2021,120,1
2,2021,130,2
2,2021,140,2
2,2021,150,2
2,2021,160,4
2,2021,170,5
2,2021,180,5
2,2021,190,6
2,2021,200,7
2,2021,210,8
2,2021,220,9
2,2021,230,9
2,2021,240,12
2,2021,250,17
2,2021,260,21
2,2021,270,23
2,2021,280,25
2,2021,290,27
2,2021,300,28
2,2021,310,28
2,2021,320,29
2,2021,330,29
2,2021,340,29
2,2021,350,31
2,2021,360,32
2,2021,370,33
2,2021,380,34
2,2021,390,35
2,2021,400,35
1,2021,10,0
1,2021,20,0
1,2021,30,0
1,2021,40,0
1,2021,50,0
1,2021,60,0
1,2021,70,0
1,2021,80,0
1,2021,90,0
1,2021,100,0
1,2021,110,0
1,2021,120,0
1,2021,130,1
1,2021,140,1
1,2021,150,2
1,2021,160,3
1,2021,170,4
1,2021,180,4
1,2021,190,4
1,2021,200,7
1,2021,210,7
1,2021,220,9
1,2021,230,11
1,2021,240,12
1,2021,250,15
1,2021,260,18
1,2021,270,19
1,2021,280,19
1,2021,290,24
1,2021,300,25
1,2021,310,26
1,2021,320,26
1,2021,330,28
1,2021,340,29
1,2021,350,30
1,2021,360,31
1,2021,370,31
1,2021,380,31
1,2021,390,32
1,2021,400,32
168,2022,10,4
168,2022,20,9
168,2022,30,13
168,2022,40,16
168,2022,50,19
168,2022,60,21
168,2022,70,24
168,2022,80,28
168,2022,90,29
168,2022,100,31
168,2022,110,33
168,2022,120,35
168,2022,130,38
168,2022,140,39
168,2022,150,41
168,2022,160,42
168,2022,170,43
168,2022,180,44
168,2022,190,46
168,2022,200,46
168,2022,210,48
168,2022,220,48
168,2022,230,49
168,2022,240,49
168,2022,250,51
168,2022,260,51
168,2022,270,52
168,2022,280,54
168,2022,290,56
168,2022,300,57
168,2022,310,59
168,2022,320,59
168,2022,330,60
168,2022,340,60
168,2022,350,61
168,2022,360,61
168,2022,370,63
168,2022,380,63
168,2022,390,63
168,2022,400,63
24,2022,10,4
24,2022,20,9
24,2022,30,14
24,2022,40,18
24,2022,50,23
24,2022,60,27
24,2022,70,31
24,2022,80,38
24,2022,90,45
24,2022,100,47
24,2022,110,48
24,2022,120,51
24,2022,130,51
24,2022,140,54
24,2022,150,57
24,2022,160,58
24,2022,170,58
24,2022,180,58
24,2022,190,58
24,2022,200,61
24,2022,210,61
24,2022,220,61
24,2022,230,62
24,2022,240,62
24,2022,250,62
24,2022,260,64
24,2022,270,65
24,2022,280,65
24,2022,290,66
24,2022,300,67
24,2022,310,67
24,2022,320,67
24,2022,330,67
24,2022,340,67
24,2022,350,68
24,2022,360,68
24,2022,370,68
24,2022,380,69
24,2022,390,69
24,2022,400,70
6,2022,10,5
6,2022,20,8
6,2022,30,9
6,2022,40,10
6,2022,50,12
6,2022,60,13
6,2022,70,16
6,2022,80,18
6,2022,90,23
6,2022,100,24
6,2022,110,25
6,2022,120,26
6,2022,130,29
6,2022,140,33
6,2022,150,34
6,2022,160,36
6,2022,170,36
6,2022,180,40
6,2022,190,42
6,2022,200,44
6,2022,210,44
6,2022,220,45
6,2022,230,46
6,2022,240,49
6,2022,250,50
6,2022,260,53
6,2022,270,55
6,2022,280,55
6,2022,290,55
6,2022,300,55
6,2022,310,58
6,2022,320,60
6,2022,330,61
6,2022,340,62
6,2022,350,63
6,2022,360,64
6,2022,370,65
6,2022,380,66
6,2022,390,66
6,2022,400,66
3,2022,10,6
3,2022,20,10
3,2022,30,13
3,2022,40,17
3,2022,50,20
3,2022,60,23
3,2022,70,28
3,2022,80,32
3,2022,90,35
3,2022,100,37
3,2022,110,40
3,2022,120,41
3,2022,130,43
3,2022,140,46
3,2022,150,48
3,2022,160,50
3,2022,170,53
3,2022,180,53
3,2022,190,56
3,2022,200,56
3,2022,210,56
3,2022,220,56
3,2022,230,58
3,2022,240,60
3,2022,250,61
3,2022,260,61
3,2022,270,62
3,2022,280,64
3,2022,290,64
3,2022,300,65
3,2022,310,65
3,2022,320,66
3,2022,330,67
3,2022,340,69
3,2022,350,69
3,2022,360,69
3,2022,370,70
3,2022,380,72
3,2022,390,73
3,2022,400,73
2,2022,10,7
2,2022,20,12
2,2022,30,15
2,2022,40,17
2,2022,50,24
2,2022,60,29
2,2022,70,33
2,2022,80,35
2,2022,90,37
2,2022,100,41
2,2022,110,45
2,2022,120,47
2,2022,130,49
2,2022,140,50
2,2022,150,50
2,2022,160,51
2,2022,170,52
2,2022,180,55
2,2022,190,57
2,2022,200,58
2,2022,210,61
2,2022,220,61
2,2022,230,63
2,2022,240,63
2,2022,250,64
2,2022,260,66
2,2022,270,67
2,2022,280,68
2,2022,290,68
2,2022,300,68
2,2022,310,69
2,2022,320,70
2,2022,330,70
2,2022,340,70
2,2022,350,71
2,2022,360,71
2,2022,370,71
2,2022,380,71
2,2022,390,72
2,2022,400,74
1,2022,10,10
1,2022,20,12
1,2022,30,14
1,2022,40,19
1,2022,50,26
1,2022,60,29
1,2022,70,35
1,2022,80,38
1,2022,90,40
1,2022,100,44
1,2022,110,45
1,2022,120,47
1,2022,130,49
1,2022,140,49
1,2022,150,51
1,2022,160,52
1,2022,170,53
1,2022,180,55
1,2022,190,59
1,2022,200,61
1,2022,210,62
1,2022,220,64
1,2022,230,66
1,2022,240,68
1,2022,250,68
1,2022,260,68
1,2022,270,68
1,2022,280,69
1,2022,290,70
1,2022,300,71
1,2022,310,71
1,2022,320,71
1,2022,330,71
1,2022,340,71
1,2022,350,71
1,2022,360,71
1,2022,370,72
1,2022,380,73
1,2022,390,74
1,2022,400,75
168,2023,10,4
168,2023,20,7
168,2023,30,7
168,2023,40,7
168,2023,50,9
168,2023,60,9
168,2023,70,9
168,2023,80,10
168,2023,90,11
168,2023,100,11
168,2023,110,11
168,2023,120,12
168,2023,130,13
168,2023,140,13
168,2023,150,14
168,2023,160,14
168,2023,170,16
168,2023,180,17
168,2023,190,17
168,2023,200,18
168,2023,210,20
168,2023,220,22
168,2023,230,24
168,2023,240,24
168,2023,250,25
168,2023,260,25
168,2023,270,28
168,2023,280,29
168,2023,290,30
168,2023,300,32
168,2023,310,32
168,2023,320,33
168,2023,330,35
168,2023,340,36
168,2023,350,38
168,2023,360,40
168,2023,370,40
168,2023,380,43
168,2023,390,44
168,2023,400,46
24,2023,10,7
24,2023,20,9
24,2023,30,13
24,2023,40,13
24,2023,50,13
24,2023,60,14
24,2023,70,14
24,2023,80,14
24,2023,90,14
24,2023,100,16
24,2023,110,18
24,2023,120,19
24,2023,130,19
24,2023,140,20
24,2023,150,22
24,2023,160,25
24,2023,170,27
24,2023,180,31
24,2023,190,34
24,2023,200,36
24,2023,210,37
24,2023,220,39
24,2023,230,40
24,2023,240,42
24,2023,250,43
24,2023,260,45
24,2023,270,48
24,2023,280,49
24,2023,290,49
24,2023,300,51
24,2023,310,52
24,2023,320,53
24,2023,330,55
24,2023,340,57
24,2023,350,58
24,2023,360,59
24,2023,370,60
24,2023,380,60
24,2023,390,60
24,2023,400,61
6,2023,10,5
6,2023,20,9
6,2023,30,11
6,2023,40,11
6,2023,50,12
6,2023,60,13
6,2023,70,14
6,2023,80,15
6,2023,90,15
6,2023,100,15
6,2023,110,17
6,2023,120,18
6,2023,130,19
6,2023,140,21
6,2023,150,22
6,2023,160,23
6,2023,170,25
6,2023,180,27
6,2023,190,28
6,2023,200,30
6,2023,210,30
6,2023,220,33
6,2023,230,33
6,2023,240,36
6,2023,250,37
6,2023,260,39
6,2023,270,40
6,2023,280,40
6,2023,290,41
6,2023,300,43
6,2023,310,44
6,2023,320,44
6,2023,330,44
6,2023,340,46
6,2023,350,47
6,2023,360,47
6,2023,370,48
6,2023,380,50
6,2023,390,52
6,2023,400,53
3,2023,10,7
3,2023,20,9
3,2023,30,12
3,2023,40,12
3,2023,50,13
3,2023,60,13
3,2023,70,13
3,2023,80,14
3,2023,90,15
3,2023,100,18
3,2023,110,19
3,2023,120,23
3,2023,130,26
3,2023,140,27
3,2023,150,29
3,2023,160,29
3,2023,170,31
3,2023,180,32
3,2023,190,38
3,2023,200,39
3,2023,210,41
3,2023,220,42
3,2023,230,44
3,2023,240,44
3,2023,250,47
3,2023,260,48
3,2023,270,49
3,2023,280,50
3,2023,290,52
3,2023,300,54
3,2023,310,57
3,2023,320,58
3,2023,330,58
3,2023,340,59
3,2023,350,59
3,2023,360,59
3,2023,370,59
3,2023,380,59
3,2023,390,59
3,2023,400,62
2,2023,10,8
2,2023,20,10
2,2023,30,12
2,2023,40,13
2,2023,50,13
2,2023,60,13
2,2023,70,14
2,2023,80,16
2,2023,90,17
2,2023,100,20
2,2023,110,21
2,2023,120,24
2,2023,130,27
2,2023,140,30
2,2023,150,30
2,2023,160,32
2,2023,170,35
2,2023,180,37
2,2023,190,38
2,2023,200,40
2,2023,210,40
2,2023,220,42
2,2023,230,44
2,2023,240,46
2,2023,250,47
2,2023,260,48
2,2023,270,52
2,2023,280,55
2,2023,290,56
2,2023,300,57
2,2023,310,57
2,2023,320,58
2,2023,330,58
2,2023,340,60
2,2023,350,60
2,2023,360,63
2,2023,370,63
2,2023,380,65
2,2023,390,66
2,2023,400,66
1,2023,10,6
1,2023,20,11
1,2023,30,13
1,2023,40,13
1,2023,50,13
1,2023,60,13
1,2023,70,15
1,2023,80,18
1,2023,90,21
1,2023,100,23
1,2023,110,25
1,2023,120,27
1,2023,130,28
1,2023,140,33
1,2023,150,33
1,2023,160,36
1,2023,170,37
1,2023,180,38
1,2023,190,40
1,2023,200,42
1,2023,210,43
1,2023,220,44
1,2023,230,46
1,2023,240,48
1,2023,250,51
1,2023,260,52
1,2023,270,54
1,2023,280,56
1,2023,290,56
1,2023,300,57
1,2023,310,58
1,2023,320,60
1,2023,330,61
1,2023,340,62
1,2023,350,64
1,2023,360,64
1,2023,370,64
1,2023,380,66
1,2023,390,67
1,2023,400,67
168,2024,10,2
168,2024,20,6
168,2024,30,9
168,2024,40,12
168,2024,50,17
168,2024,60,23
168,2024,70,29
168,2024,80,30
168,2024,90,31
168,2024,100,33
168,2024,110,35
168,2024,120,37
168,2024,130,42
168,2024,140,44
168,2024,150,45
168,2024,160,48
168,2024,170,50
168,2024,180,50
168,2024,190,51
168,2024,200,55
168,2024,210,57
168,2024,220,57
168,2024,230,58
168,2024,240,60
168,2024,250,60
168,2024,260,64
168,2024,270,65
168,2024,280,66
168,2024,290,66
168,2024,300,68
168,2024,310,68
168,2024,320,69
168,2024,330,69
168,2024,340,70
168,2024,350,70
168,2024,360,70
168,2024,370,72
168,2024,380,73
168,2024,390,74
168,2024,400,75
24,2024,10,5
24,2024,20,11
24,2024,30,17
24,2024,40,22
24,2024,50,25
24,2024,60,32
24,2024,70,34
24,2024,80,39
24,2024,90,43
24,2024,100,48
24,2024,110,52
24,2024,120,55
24,2024,130,56
24,2024,140,57
24,2024,150,60
24,2024,160,64
24,2024,170,66
24,2024,180,69
24,2024,190,70
24,2024,200,74
24,2024,210,77
24,2024,220,79
24,2024,230,79
24,2024,240,80
24,2024,250,81
24,2024,260,83
24,2024,270,83
24,2024,280,83
24,2024,290,85
24,2024,300,88
24,2024,310,88
24,2024,320,88
24,2024,330,91
24,2024,340,91
24,2024,350,91
24,2024,360,91
24,2024,370,92
24,2024,380,92
24,2024,390,93
24,2024,400,93
6,2024,10,10
6,2024,20,19
6,2024,30,24
6,2024,40,29
6,2024,50,36
6,2024,60,39
6,2024,70,43
6,2024,80,47
6,2024,90,50
6,2024,100,51
6,2024,110,53
6,2024,120,54
6,2024,130,58
6,2024,140,59
6,2024,150,60
6,2024,160,60
6,2024,170,62
6,2024,180,65
6,2024,190,66
6,2024,200,68
6,2024,210,69
6,2024,220,69
6,2024,230,69
6,2024,240,69
6,2024,250,70
6,2024,260,71
6,2024,270,71
6,2024,280,73
6,2024,290,73
6,2024,300,74
6,2024,310,75
6,2024,320,76
6,2024,330,76
6,2024,340,78
6,2024,350,79
6,2024,360,79
6,2024,370,81
6,2024,380,82
6,2024,390,82
6,2024,400,83
3,2024,10,9
3,2024,20,17
3,2024,30,22
3,2024,40,27
3,2024,50,31
3,2024,60,36
3,2024,70,39
3,2024,80,43
3,2024,90,45
3,2024,100,49
3,2024,110,50
3,2024,120,51
3,2024,130,53
3,2024,140,58
3,2024,150,62
3,2024,160,63
3,2024,170,65
3,2024,180,67
3,2024,190,69
3,2024,200,70
3,2024,210,72
3,2024,220,74
3,2024,230,74
3,2024,240,74
3,2024,250,75
3,2024,260,80
3,2024,270,82
3,2024,280,82
3,2024,290,82
3,2024,300,83
3,2024,310,83
3,2024,320,85
3,2024,330,85
3,2024,340,85
3,2024,350,86
3,2024,360,87
3,2024,370,87
3,2024,380,88
3,2024,390,88
3,2024,400,88
2,2024,10,10
2,2024,20,17
2,2024,30,23
2,2024,40,27
2,2024,50,31
2,2024,60,37
2,2024,70,40
2,2024,80,42
2,2024,90,45
2,2024,100,48
2,2024,110,50
2,2024,120,53
2,2024,130,55
2,2024,140,58
2,2024,150,62
2,2024,160,63
2,2024,170,66
2,2024,180,69
2,2024,190,70
2,2024,200,72
2,2024,210,73
2,2024,220,75
2,2024,230,76
2,2024,240,77
2,2024,250,79
2,2024,260,81
2,2024,270,83
2,2024,280,83
2,2024,290,84
2,2024,300,85
2,2024,310,85
2,2024,320,85
2,2024,330,85
2,2024,340,85
2,2024,350,86
2,2024,360,86
2,2024,370,87
2,2024,380,88
2,2024,390,89
2,2024,400,90
1,2024,10,10
1,2024,20,17
1,2024,30,20
1,2024,40,25
1,2024,50,32
1,2024,60,37
1,2024,70,40
1,2024,80,44
1,2024,90,48
1,2024,100,50
1,2024,110,53
1,2024,120,55
1,2024,130,57
1,2024,140,61
1,2024,150,64
1,2024,160,65
1,2024,170,70
1,2024,180,73
1,2024,190,73
1,2024,200,73
